Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
85,0,0.0204,4388.94,6.6527,0,-0.0300397,-0.0300397,0.0204,0,0.001,0.0204245,300.458,0,0,0,0,1
86,0,0.02064,4389.88,6.65513,0,-0.0563768,-0.0563768,0.02064,0,0.001,0.0206642,300.483,0,0,0,0,1
87,0,0.02088,4394.5,6.667,0,-0.0595877,-0.0595877,0.02088,0,0.001,0.0209039,300.511,0,0,0,0,1
88,0,0.02112,4401.21,6.68428,0,-0.0495831,-0.0495831,0.02112,0,0.001,0.0211437,300.54,0,0,0,0,1
89,0,0.02136,4407.92,6.70156,0,-0.0395785,-0.0395785,0.02136,0,0.001,0.0213834,300.569,0,0,0,0,1
90,0,0.0216,4414.64,6.71883,0,-0.0295739,-0.0295739,0.0216,0,0.001,0.0216231,300.598,0,0,0,0,1
91,0,0.02184,4421.2,6.73572,0,-0.0163256,-0.0163256,0.02184,0,0.001,0.0218629,300.627,0,0,0,0,1
92,0,0.02208,4426.21,6.7487,0,0.0293612,0.0293612,0.02208,0,0.001,0.0221026,300.659,0,0,0,0,1
93,0,0.02232,4431.22,6.76168,0,0.075048,0.075048,0.02232,0,0.001,0.0223424,300.69,0,0,0,0,1
94,0,0.02256,4436.24,6.77466,0,0.120735,0.120735,0.02256,0,0.001,0.0225822,300.722,0,0,0,0,1
95,0,0.0228,4441.25,6.78764,0,0.166422,0.166422,0.0228,0,0.001,0.0228219,300.753,0,0,0,0,1
96,0,0.02304,4445.27,6.79803,0,0.217974,0.217974,0.02304,0,0.001,0.0230617,300.786,0,0,0,0,1
97,0,0.02328,4448.45,6.80627,0,0.274413,0.274413,0.02328,0,0.001,0.0233015,300.821,0,0,0,0,1
98,0,0.02352,4451.63,6.81451,0,0.330852,0.330852,0.02352,0,0.001,0.0235412,300.856,0,0,0,0,1
99,0,0.02376,4454.81,6.82275,0,0.387291,0.387291,0.02376,0,0.001,0.023781,300.891,0,0,0,0,1
100,0,0.024,4458,6.831,0,0.443731,0.443731,0.024,0,0.001,0.0240208,300.925,0,0,0,0,1
101,0,0.02424,4450.33,6.81119,0,0.495831,0.495831,0.02424,0,0.001,0.0242606,300.962,0,0,0,0,1
102,0,0.02448,4442.67,6.7914,0,0.547932,0.547932,0.02448,0,0.001,0.0245004,300.999,0,0,0,0,1
103,0,0.02472,4435.01,6.7716,0,0.600032,0.600032,0.02472,0,0.001,0.0247402,301.036,0,0,0,0,1
104,0,0.02496,4427.34,6.75179,0,0.652133,0.652133,0.02496,0,0.001,0.02498,301.073,0,0,0,0,1
105,0,0.0252,4416.49,6.72383,0,0.695186,0.695186,0.0252,0,0.001,0.0252198,301.11,0,0,0,0,1
106,0,0.02544,4401.79,6.68607,0,0.727382,0.727382,0.02544,0,0.001,0.0254596,301.149,0,0,0,0,1
107,0,0.02568,4387.1,6.6483,0,0.759578,0.759578,0.02568,0,0.001,0.0256995,301.187,0,0,0,0,1
108,0,0.02592,4372.41,6.61054,0,0.791774,0.791774,0.02592,0,0.001,0.0259393,301.225,0,0,0,0,1
109,0,0.02616,4357.72,6.57278,0,0.82397,0.82397,0.02616,0,0.001,0.0261791,301.263,0,0,0,0,1
110,0,0.0264,4343.81,6.53734,0,0.845031,0.845031,0.0264,0,0.001,0.0264189,301.303,0,0,0,0,1
111,0,0.02664,4329.99,6.50214,0,0.864978,0.864978,0.02664,0,0.001,0.0266588,301.343,0,0,0,0,1
112,0,0.02688,4316.16,6.46694,0,0.884925,0.884925,0.02688,0,0.001,0.0268986,301.384,0,0,0,0,1
113,0,0.02712,4302.34,6.43174,0,0.904872,0.904872,0.02712,0,0.001,0.0271384,301.424,0,0,0,0,1
114,0,0.02736,4288.32,6.39619,0,0.923446,0.923446,0.02736,0,0.001,0.0273783,301.465,0,0,0,0,1
115,0,0.0276,4273.96,6.36003,0,0.939618,0.939618,0.0276,0,0.001,0.0276181,301.508,0,0,0,0,1
116,0,0.02784,4259.61,6.32387,0,0.955791,0.955791,0.02784,0,0.001,0.027858,301.55,0,0,0,0,1
117,0,0.02808,4245.25,6.28771,0,0.971963,0.971963,0.02808,0,0.001,0.0280978,301.593,0,0,0,0,1
118,0,0.02832,4230.9,6.25154,0,0.988135,0.988135,0.02832,0,0.001,0.0283377,301.635,0,0,0,0,1
119,0,0.02856,4213.11,6.20718,0,1.00329,1.00329,0.02856,0,0.001,0.0285775,301.679,0,0,0,0,1
120,0,0.0288,4194.55,6.16099,0,1.01823,1.01823,0.0288,0,0.001,0.0288174,301.723,0,0,0,0,1
121,0,0.02904,4175.99,6.1148,0,1.03316,1.03316,0.02904,0,0.001,0.0290572,301.767,0,0,0,0,1
122,0,0.02928,4157.43,6.06861,0,1.04809,1.04809,0.02928,0,0.001,0.0292971,301.811,0,0,0,0,1
123,0,0.02952,4137.51,6.01928,0,1.06266,1.06266,0.02952,0,0.001,0.0295369,301.856,0,0,0,0,1
124,0,0.02976,4113.97,5.96157,0,1.07626,1.07626,0.02976,0,0.001,0.0297768,301.901,0,0,0,0,1
125,0,0.03,4090.43,5.90386,0,1.08986,1.08986,0.03,0,0.001,0.0300167,301.946,0,0,0,0,1
126,0,0.03024,4066.88,5.84616,0,1.10346,1.10346,0.03024,0,0.001,0.0302565,301.991,0,0,0,0,1
127,0,0.03048,4043.34,5.78845,0,1.11706,1.11706,0.03048,0,0.001,0.0304964,302.037,0,0,0,0,1
128,0,0.03072,4017.18,5.72522,0,1.12934,1.12934,0.03072,0,0.001,0.0307363,302.082,0,0,0,0,1
129,0,0.03096,3990.04,5.65992,0,1.14113,1.14113,0.03096,0,0.001,0.0309761,302.128,0,0,0,0,1
130,0,0.0312,3962.9,5.59462,0,1.15292,1.15292,0.0312,0,0.001,0.031216,302.174,0,0,0,0,1
131,0,0.03144,3935.76,5.52931,0,1.16472,1.16472,0.03144,0,0.001,0.0314559,302.22,0,0,0,0,1
132,0,0.03168,3908.32,5.46355,0,1.17615,1.17615,0.03168,0,0.001,0.0316958,302.266,0,0,0,0,1
133,0,0.03192,3879.52,5.39572,0,1.18597,1.18597,0.03192,0,0.001,0.0319357,302.313,0,0,0,0,1
134,0,0.03216,3850.72,5.32789,0,1.19579,1.19579,0.03216,0,0.001,0.0321755,302.36,0,0,0,0,1
135,0,0.0324,3821.92,5.26005,0,1.20562,1.20562,0.0324,0,0.001,0.0324154,302.406,0,0,0,0,1
136,0,0.03264,3793.13,5.19222,0,1.21544,1.21544,0.03264,0,0.001,0.0326553,302.453,0,0,0,0,1
137,0,0.03288,3764.32,5.12535,0,1.22414,1.22414,0.03288,0,0.001,0.0328952,302.5,0,0,0,0,1
138,0,0.03312,3735.51,5.05902,0,1.23221,1.23221,0.03312,0,0.001,0.0331351,302.548,0,0,0,0,1
139,0,0.03336,3706.71,4.9927,0,1.24028,1.24028,0.03336,0,0.001,0.033375,302.595,0,0,0,0,1
140,0,0.0336,3677.9,4.92638,0,1.24835,1.24835,0.0336,0,0.001,0.0336149,302.643,0,0,0,0,1
141,0,0.03384,3649.18,4.86038,0,1.25629,1.25629,0.03384,0,0.001,0.0338548,302.69,0,0,0,0,1
142,0,0.03408,3621.32,4.79774,0,1.26306,1.26306,0.03408,0,0.001,0.0340947,302.739,0,0,0,0,1
143,0,0.03432,3593.47,4.7351,0,1.26982,1.26982,0.03432,0,0.001,0.0343346,302.787,0,0,0,0,1
144,0,0.03456,3565.62,4.67245,0,1.27658,1.27658,0.03456,0,0.001,0.0345745,302.835,0,0,0,0,1
145,0,0.0348,3537.76,4.60981,0,1.28334,1.28334,0.0348,0,0.001,0.0348144,302.884,0,0,0,0,1
146,0,0.03504,3510.57,4.54942,0,1.28963,1.28963,0.03504,0,0.001,0.0350543,302.932,0,0,0,0,1
147,0,0.03528,3483.93,4.4909,0,1.29552,1.29552,0.03528,0,0.001,0.0352942,302.982,0,0,0,0,1
148,0,0.03552,3457.29,4.43238,0,1.30142,1.30142,0.03552,0,0.001,0.0355341,303.031,0,0,0,0,1
149,0,0.03576,3430.65,4.37387,0,1.30731,1.30731,0.03576,0,0.001,0.035774,303.08,0,0,0,0,1
150,0,0.036,3404.01,4.31535,0,1.31321,1.31321,0.036,0,0.001,0.0360139,303.129,0,0,0,0,1
151,0,0.03624,3378.46,4.26052,0,1.31849,1.31849,0.03624,0,0.001,0.0362538,303.179,0,0,0,0,1
152,0,0.03648,3352.9,4.2057,0,1.32378,1.32378,0.03648,0,0.001,0.0364937,303.229,0,0,0,0,1
153,0,0.03672,3327.35,4.15087,0,1.32907,1.32907,0.03672,0,0.001,0.0367336,303.279,0,0,0,0,1
154,0,0.03696,3301.79,4.09605,0,1.33436,1.33436,0.03696,0,0.001,0.0369735,303.329,0,0,0,0,1
155,0,0.0372,3276.68,4.04271,0,1.33943,1.33943,0.0372,0,0.001,0.0372134,303.379,0,0,0,0,1
156,0,0.03744,3252.09,3.99118,0,1.34424,1.34424,0.03744,0,0.001,0.0374533,303.429,0,0,0,0,1
157,0,0.03768,3227.5,3.93964,0,1.34905,1.34905,0.03768,0,0.001,0.0376933,303.48,0,0,0,0,1
158,0,0.03792,3202.91,3.8881,0,1.35386,1.35386,0.03792,0,0.001,0.0379332,303.53,0,0,0,0,1
159,0,0.03816,3178.32,3.83656,0,1.35867,1.35867,0.03816,0,0.001,0.0381731,303.581,0,0,0,0,1
160,0,0.0384,3154.51,3.78771,0,1.36311,1.36311,0.0384,0,0.001,0.038413,303.632,0,0,0,0,1
161,0,0.03864,3130.78,3.73914,0,1.36752,1.36752,0.03864,0,0.001,0.0386529,303.683,0,0,0,0,1
162,0,0.03888,3107.05,3.69056,0,1.37193,1.37193,0.03888,0,0.001,0.0388929,303.734,0,0,0,0,1
163,0,0.03912,3083.32,3.64198,0,1.37634,1.37634,0.03912,0,0.001,0.0391328,303.785,0,0,0,0,1
164,0,0.03936,3059.93,3.59448,0,1.3806,1.3806,0.03936,0,0.001,0.0393727,303.836,0,0,0,0,1
165,0,0.0396,3037.12,3.54886,0,1.3846,1.3846,0.0396,0,0.001,0.0396126,303.888,0,0,0,0,1
166,0,0.03984,3014.31,3.50324,0,1.38861,1.38861,0.03984,0,0.001,0.0398525,303.939,0,0,0,0,1
167,0,0.04008,2991.49,3.45762,0,1.39262,1.39262,0.04008,0,0.001,0.0400925,303.991,0,0,0,0,1
168,0,0.04032,2968.68,3.412,0,1.39662,1.39662,0.04032,0,0.001,0.0403324,304.042,0,0,0,0,1
169,0,0.04056,2946.82,3.36908,0,1.40023,1.40023,0.04056,0,0.001,0.0405723,304.094,0,0,0,0,1
170,0,0.0408,2925.17,3.32678,0,1.40376,1.40376,0.0408,0,0.001,0.0408123,304.146,0,0,0,0,1
171,0,0.04104,2903.52,3.28447,0,1.40729,1.40729,0.04104,0,0.001,0.0410522,304.198,0,0,0,0,1
172,0,0.04128,2881.87,3.24216,0,1.41081,1.41081,0.04128,0,0.001,0.0412921,304.249,0,0,0,0,1
173,0,0.04152,2860.56,3.20078,0,1.4142,1.4142,0.04152,0,0.001,0.041532,304.301,0,0,0,0,1
174,0,0.04176,2840.19,3.16187,0,1.41722,1.41722,0.04176,0,0.001,0.041772,304.353,0,0,0,0,1
175,0,0.042,2819.82,3.12296,0,1.42024,1.42024,0.042,0,0.001,0.0420119,304.405,0,0,0,0,1
176,0,0.04224,2799.45,3.08405,0,1.42326,1.42326,0.04224,0,0.001,0.0422518,304.457,0,0,0,0,1
177,0,0.04248,2779.08,3.04514,0,1.42629,1.42629,0.04248,0,0.001,0.0424918,304.509,0,0,0,0,1
178,0,0.04272,2759.63,3.00857,0,1.42904,1.42904,0.04272,0,0.001,0.0427317,304.562,0,0,0,0,1
179,0,0.04296,2740.52,2.97289,0,1.4317,1.4317,0.04296,0,0.001,0.0429716,304.614,0,0,0,0,1
180,0,0.0432,2721.42,2.9372,0,1.43436,1.43436,0.0432,0,0.001,0.0432116,304.666,0,0,0,0,1
181,0,0.04344,2702.32,2.90152,0,1.43702,1.43702,0.04344,0,0.001,0.0434515,304.719,0,0,0,0,1
182,0,0.04368,2683.44,2.86637,0,1.43964,1.43964,0.04368,0,0.001,0.0436914,304.771,0,0,0,0,1
183,0,0.04392,2665.54,2.83365,0,1.44207,1.44207,0.04392,0,0.001,0.0439314,304.824,0,0,0,0,1
184,0,0.04416,2647.64,2.80093,0,1.4445,1.4445,0.04416,0,0.001,0.0441713,304.876,0,0,0,0,1
185,0,0.0444,2629.74,2.7682,0,1.44693,1.44693,0.0444,0,0.001,0.0444113,304.929,0,0,0,0,1
186,0,0.04464,2611.84,2.73548,0,1.44936,1.44936,0.04464,0,0.001,0.0446512,304.982,0,0,0,0,1
187,0,0.04488,2594.67,2.70448,0,1.45166,1.45166,0.04488,0,0.001,0.0448911,305.035,0,0,0,0,1
188,0,0.04512,2577.9,2.67446,0,1.45389,1.45389,0.04512,0,0.001,0.0451311,305.088,0,0,0,0,1
189,0,0.04536,2561.13,2.64444,0,1.45611,1.45611,0.04536,0,0.001,0.045371,305.141,0,0,0,0,1
190,0,0.0456,2544.37,2.61442,0,1.45834,1.45834,0.0456,0,0.001,0.045611,305.194,0,0,0,0,1
191,0,0.04584,2527.7,2.58463,0,1.46055,1.46055,0.04584,0,0.001,0.0458509,305.247,0,0,0,0,1
192,0,0.04608,2512.01,2.5571,0,1.46257,1.46257,0.04608,0,0.001,0.0460908,305.3,0,0,0,0,1
193,0,0.04632,2496.31,2.52957,0,1.46459,1.46459,0.04632,0,0.001,0.0463308,305.353,0,0,0,0,1
194,0,0.04656,2480.62,2.50204,0,1.46661,1.46661,0.04656,0,0.001,0.0465707,305.407,0,0,0,0,1
195,0,0.0468,2464.93,2.4745,0,1.46863,1.46863,0.0468,0,0.001,0.0468107,305.46,0,0,0,0,1
196,0,0.04704,2449.8,2.44823,0,1.47054,1.47054,0.04704,0,0.001,0.0470506,305.513,0,0,0,0,1
197,0,0.04728,2435.14,2.423,0,1.47235,1.47235,0.04728,0,0.001,0.0472906,305.566,0,0,0,0,1
198,0,0.04752,2420.48,2.39778,0,1.47417,1.47417,0.04752,0,0.001,0.0475305,305.62,0,0,0,0,1
199,0,0.04776,2405.82,2.37255,0,1.47598,1.47598,0.04776,0,0.001,0.0477705,305.673,0,0,0,0,1
200,0,0.048,2391.16,2.34732,0,1.4778,1.4778,0.048,0,0.001,0.0480104,305.727,0,0,0,0,1
201,0,0.04824,2377.49,2.32425,0,1.47941,1.47941,0.04824,0,0.001,0.0482504,305.78,0,0,0,0,1
202,0,0.04848,2363.83,2.30118,0,1.48102,1.48102,0.04848,0,0.001,0.0484903,305.834,0,0,0,0,1
203,0,0.04872,2350.17,2.27811,0,1.48263,1.48263,0.04872,0,0.001,0.0487303,305.888,0,0,0,0,1
204,0,0.04896,2336.51,2.25504,0,1.48424,1.48424,0.04896,0,0.001,0.0489702,305.941,0,0,0,0,1
205,0,0.0492,2323.28,2.23288,0,1.48576,1.48576,0.0492,0,0.001,0.0492102,305.995,0,0,0,0,1
206,0,0.04944,2310.58,2.21181,0,1.48717,1.48717,0.04944,0,0.001,0.0494501,306.049,0,0,0,0,1
207,0,0.04968,2297.89,2.19075,0,1.48858,1.48858,0.04968,0,0.001,0.0496901,306.103,0,0,0,0,1
208,0,0.04992,2285.19,2.16969,0,1.48999,1.48999,0.04992,0,0.001,0.04993,306.157,0,0,0,0,1
209,0,0.05016,2272.49,2.14863,0,1.4914,1.4914,0.05016,0,0.001,0.05017,306.211,0,0,0,0,1
210,0,0.0504,2260.63,2.12926,0,1.49264,1.49264,0.0504,0,0.001,0.0504099,306.265,0,0,0,0,1
211,0,0.05064,2248.85,2.11006,0,1.49387,1.49387,0.05064,0,0.001,0.0506499,306.319,0,0,0,0,1
212,0,0.05088,2237.08,2.09087,0,1.49509,1.49509,0.05088,0,0.001,0.0508898,306.373,0,0,0,0,1
213,0,0.05112,2225.3,2.07167,0,1.49631,1.49631,0.05112,0,0.001,0.0511298,306.427,0,0,0,0,1
214,0,0.05136,2213.85,2.05309,0,1.49747,1.49747,0.05136,0,0.001,0.0513697,306.481,0,0,0,0,1
215,0,0.0516,2202.94,2.0356,0,1.49851,1.49851,0.0516,0,0.001,0.0516097,306.535,0,0,0,0,1
216,0,0.05184,2192.04,2.01811,0,1.49955,1.49955,0.05184,0,0.001,0.0518496,306.589,0,0,0,0,1
