Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
86,0,0.02064,3551.37,4.64161,0,-0.396794,-0.396794,0.02064,0,0.001,0.0206642,304.186,0,0,0,0,1
87,0,0.02088,3509.25,4.54822,0,-0.355267,-0.355267,0.02088,0,0.001,0.0209039,304.276,0,0,0,0,1
88,0,0.02112,3467.86,4.4577,0,-0.316575,-0.316575,0.02112,0,0.001,0.0211437,304.367,0,0,0,0,1
89,0,0.02136,3426.47,4.36718,0,-0.277883,-0.277883,0.02136,0,0.001,0.0213834,304.458,0,0,0,0,1
90,0,0.0216,3385.08,4.27666,0,-0.239191,-0.239191,0.0216,0,0.001,0.0216231,304.549,0,0,0,0,1
91,0,0.02184,3343.88,4.18684,0,-0.201013,-0.201013,0.02184,0,0.001,0.0218629,304.64,0,0,0,0,1
92,0,0.02208,3304.6,4.10404,0,-0.167975,-0.167975,0.02208,0,0.001,0.0221026,304.732,0,0,0,0,1
93,0,0.02232,3265.31,4.02123,0,-0.134936,-0.134936,0.02232,0,0.001,0.0223424,304.823,0,0,0,0,1
94,0,0.02256,3226.02,3.93843,0,-0.101897,-0.101897,0.02256,0,0.001,0.0225822,304.915,0,0,0,0,1
95,0,0.0228,3186.74,3.85563,0,-0.0688589,-0.0688589,0.0228,0,0.001,0.0228219,305.007,0,0,0,0,1
96,0,0.02304,3148.6,3.7768,0,-0.0382526,-0.0382526,0.02304,0,0.001,0.0230617,305.099,0,0,0,0,1
97,0,0.02328,3111.42,3.70129,0,-0.0096733,-0.0096733,0.02328,0,0.001,0.0233015,305.191,0,0,0,0,1
98,0,0.02352,3074.23,3.62577,0,0.018906,0.018906,0.02352,0,0.001,0.0235412,305.283,0,0,0,0,1
99,0,0.02376,3037.05,3.55026,0,0.0474854,0.0474854,0.02376,0,0.001,0.023781,305.376,0,0,0,0,1
100,0,0.024,2999.87,3.47475,0,0.0760647,0.0760647,0.024,0,0.001,0.0240208,305.468,0,0,0,0,1
101,0,0.02424,2965.11,3.40671,0,0.100995,0.100995,0.02424,0,0.001,0.0242606,305.561,0,0,0,0,1
102,0,0.02448,2930.35,3.33867,0,0.125926,0.125926,0.02448,0,0.001,0.0245004,305.653,0,0,0,0,1
103,0,0.02472,2895.58,3.27064,0,0.150857,0.150857,0.02472,0,0.001,0.0247402,305.746,0,0,0,0,1
104,0,0.02496,2860.82,3.2026,0,0.175787,0.175787,0.02496,0,0.001,0.02498,305.839,0,0,0,0,1
105,0,0.0252,2827.29,3.13799,0,0.199383,0.199383,0.0252,0,0.001,0.0252198,305.932,0,0,0,0,1
106,0,0.02544,2795.23,3.0775,0,0.221375,0.221375,0.02544,0,0.001,0.0254596,306.025,0,0,0,0,1
107,0,0.02568,2763.17,3.01701,0,0.243368,0.243368,0.02568,0,0.001,0.0256995,306.118,0,0,0,0,1
108,0,0.02592,2731.12,2.95652,0,0.265361,0.265361,0.02592,0,0.001,0.0259393,306.211,0,0,0,0,1
109,0,0.02616,2699.06,2.89603,0,0.287353,0.287353,0.02616,0,0.001,0.0261791,306.305,0,0,0,0,1
110,0,0.0264,2669.51,2.84203,0,0.307235,0.307235,0.0264,0,0.001,0.0264189,306.398,0,0,0,0,1
111,0,0.02664,2640.21,2.78868,0,0.326907,0.326907,0.02664,0,0.001,0.0266588,306.491,0,0,0,0,1
112,0,0.02688,2610.92,2.73532,0,0.346578,0.346578,0.02688,0,0.001,0.0268986,306.585,0,0,0,0,1
113,0,0.02712,2581.62,2.68197,0,0.366249,0.366249,0.02712,0,0.001,0.0271384,306.678,0,0,0,0,1
114,0,0.02736,2553.28,2.63096,0,0.385249,0.385249,0.02736,0,0.001,0.0273783,306.772,0,0,0,0,1
115,0,0.0276,2526.63,2.58406,0,0.403075,0.403075,0.0276,0,0.001,0.0276181,306.866,0,0,0,0,1
116,0,0.02784,2499.97,2.53716,0,0.420902,0.420902,0.02784,0,0.001,0.027858,306.96,0,0,0,0,1
117,0,0.02808,2473.32,2.49026,0,0.438728,0.438728,0.02808,0,0.001,0.0280978,307.054,0,0,0,0,1
118,0,0.02832,2446.66,2.44335,0,0.456554,0.456554,0.02832,0,0.001,0.0283377,307.148,0,0,0,0,1
119,0,0.02856,2422.03,2.40113,0,0.473137,0.473137,0.02856,0,0.001,0.0285775,307.242,0,0,0,0,1
120,0,0.0288,2397.84,2.35995,0,0.489443,0.489443,0.0288,0,0.001,0.0288174,307.337,0,0,0,0,1
121,0,0.02904,2373.65,2.31877,0,0.50575,0.50575,0.02904,0,0.001,0.0290572,307.431,0,0,0,0,1
122,0,0.02928,2349.47,2.27759,0,0.522056,0.522056,0.02928,0,0.001,0.0292971,307.525,0,0,0,0,1
123,0,0.02952,2325.9,2.23778,0,0.538004,0.538004,0.02952,0,0.001,0.0295369,307.62,0,0,0,0,1
124,0,0.02976,2304.01,2.20165,0,0.552995,0.552995,0.02976,0,0.001,0.0297768,307.715,0,0,0,0,1
125,0,0.03,2282.11,2.16551,0,0.567986,0.567986,0.03,0,0.001,0.0300167,307.809,0,0,0,0,1
126,0,0.03024,2260.21,2.12938,0,0.582978,0.582978,0.03024,0,0.001,0.0302565,307.904,0,0,0,0,1
127,0,0.03048,2238.31,2.09324,0,0.597969,0.597969,0.03048,0,0.001,0.0304964,307.999,0,0,0,0,1
128,0,0.03072,2217.94,2.06033,0,0.612089,0.612089,0.03072,0,0.001,0.0307363,308.094,0,0,0,0,1
129,0,0.03096,2198.15,2.02863,0,0.625882,0.625882,0.03096,0,0.001,0.0309761,308.189,0,0,0,0,1
